id,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56
B01001_010E,93612,21909,142563,60749,894175,120427,77341,18887,13855,391755,221193,36316,37918,273855,147494,65656,66657,88410,99941,23579,120402,144377,214291,112572,62147,123601,22283,41690,59274,27177,173479,47509,423553,222422,21736,225291,86713,81716,250472,21700,102780,18449,134445,607553,81140,12258,179119,151221,34407,122495,11161
B01001_011E,154285,33887,242389,95009,1544924,217865,112008,32273,36112,675671,351532,62284,54635,443615,213198,96375,97937,142757,164077,37405,210455,241483,318825,183616,96950,199598,31590,62232,107118,39897,291043,72900,746737,325820,33827,383942,135959,140297,431677,37727,163416,28516,216640,1023478,108949,17728,300494,273811,55353,181465,20930
B01001_012E,150527,30046,229041,95370,1449919,210800,111287,28803,35515,627732,332716,54767,55141,445697,207189,102408,98837,137015,163621,36935,201818,225695,296002,193667,88000,198015,34025,66796,101953,39587,291221,69345,685579,310159,29465,359632,135299,139215,399117,34016,151541,28717,209707,995886,114495,18026,291057,266399,53204,188303,20643
B01001_013E,147593,26006,216744,92036,1318183,193545,107626,29769,25775,605834,333577,46202,55273,424611,206802,94746,89932,138648,154691,35385,188336,206137,286193,179014,94022,184869,31031,62351,99288,36078,282908,66498,617387,310971,23898,348024,122410,145395,371493,30082,141864,26201,199769,936676,112613,17336,277376,241777,56038,175573,20585
B01001_014E,149521,21772,208861,90385,1283506,185779,103436,24136,22250,614164,336413,45062,47774,410283,204796,91453,85442,144106,134251,39896,186225,205207,297032,162877,93008,180208,29722,56616,96787,41335,293642,58905,609041,330301,22717,347470,119025,121401,375444,31104,149512,24797,216234,921064,92397,17014,268637,227832,60212,177554,17010
B01001_015E,148508,22271,206212,91972,1300955,176177,124131,29182,19418,642119,343840,43170,48573,419310,209685,94464,86186,141949,135208,44696,199546,227054,325252,176710,85206,185298,29927,52744,100557,46603,312738,58526,654188,328893,20420,369287,112902,127005,418132,34110,151799,23580,213134,859529,79140,20577,276153,233567,59857,188906,15905
B01001_016E,165317,26194,211067,98711,1311936,179889,135709,33392,19345,703124,340056,44416,50586,442307,225227,105945,95623,155631,153825,51722,218360,248220,355045,196752,95930,213708,34947,61869,98852,54367,332533,66816,690102,336393,24884,407807,125959,130461,457851,37776,163652,29145,223368,871497,76041,23351,295670,243444,63283,211102,18512
B01001_017E,162458,25185,198791,94802,1210082,174742,131729,30517,18900,654555,310114,48517,49310,426908,218424,104204,97796,150028,149813,52612,203535,231913,355957,190376,97970,202814,35651,61594,90792,54731,315510,68866,652623,319016,24661,403897,123300,127554,462614,39490,152514,30211,218033,802617,68809,24331,272547,240288,65605,211430,21149
B01001_018E,58472,10403,73256,34558,449894,67746,47203,13014,6166,245464,113404,16925,21376,159249,85171,43814,32626,58788,56871,20169,72229,87365,137047,69964,35718,78878,15988,24096,33257,18135,108027,25417,242415,121942,10196,154728,47520,56349,179274,12518,60448,10954,80653,294691,30530,9941,101648,89926,27801,78343,9380
B01001_019E,85484,13524,114333,49370,581202,92090,62109,15916,8168,351338,147417,22625,28944,209814,112127,56766,49570,75151,79592,28764,94572,115930,178627,100800,45747,109078,22062,31929,49537,26379,143291,35655,322833,159246,13355,213394,63203,79388,228226,17043,86026,15431,109011,382512,38936,13369,134807,121934,38432,104841,10571
